Date,Price,Open,High,Low,Vol.,Change %
12-03-2017,70.267,71.0375,71.3135,69.438,,-1.07%
05-03-2017,71.0275,70.8945,71.2265,70.3045,,0.12%
26-02-2017,70.9405,70.4025,70.9605,70.0965,,0.77%
19-02-2017,70.3975,71.2235,71.3515,70.3105,,-1.13%
12-02-2017,71.1985,71.0775,71.7135,70.4405,,0.08%
05-02-2017,71.139,72.478,72.612,70.991,,-1.81%
29-01-2017,72.451,72.819,73.143,72.105,,-0.57%
22-01-2017,72.8655,72.7875,73.4085,72.6795,,0.01%
15-01-2017,72.861,72.41,72.956,72.097,,0.40%
08-01-2017,72.571,71.844,72.765,71.562,,1.15%
01-01-2017,71.7455,71.5855,72.2415,70.7655,,0.40%
25-12-2016,71.461,70.921,72.384,70.688,,0.74%
18-12-2016,70.9335,70.8715,71.3305,70.4115,,0.03%
11-12-2016,70.9155,71.2105,72.0475,70.3915,,-0.49%
04-12-2016,71.262,72.638,73.457,71.119,,-1.85%
27-11-2016,72.6055,72.6115,73.3605,72.3635,,0.09%
20-11-2016,72.5405,72.1625,73.0125,72.1275,,0.47%
13-11-2016,72.2,73.281,73.294,71.924,,-1.57%
06-11-2016,73.3485,74.4375,75.6785,72.4895,,-1.44%
30-10-2016,74.4165,73.3655,74.4435,73.0105,,1.43%
23-10-2016,73.369,72.837,73.451,72.521,,0.72%
16-10-2016,72.8415,73.2155,73.7585,72.6905,,-0.48%
09-10-2016,73.1955,74.5735,74.6135,73.1175,,-1.88%
02-10-2016,74.6005,74.7755,74.8565,74.0485,,-0.29%
25-09-2016,74.8155,74.8855,75.1525,74.3105,,-0.09%
18-09-2016,74.885,74.883,75.141,74.537,,0.06%
11-09-2016,74.839,75.123,75.514,74.796,,-0.40%
04-09-2016,75.1395,74.4745,75.2995,74.0235,,0.84%
28-08-2016,74.5165,75.1875,75.3835,74.3025,,-0.88%
21-08-2016,75.1795,75.8675,76.2765,75.0315,,-1.13%
14-08-2016,76.0395,74.5945,76.1105,74.5945,,1.83%
07-08-2016,74.6755,74.1135,74.9715,73.9495,,0.78%
31-07-2016,74.0975,74.4605,75.1225,73.8135,,-0.51%
24-07-2016,74.4805,73.6755,74.7465,73.5335,,1.05%
17-07-2016,73.705,74.116,74.488,73.534,,-0.53%
10-07-2016,74.0965,74.2025,74.7825,73.9695,,-0.17%
03-07-2016,74.219,74.866,75.407,74.042,,-0.81%
26-06-2016,74.8225,75.1435,75.4235,74.4395,,-0.85%
19-06-2016,75.4675,75.6775,76.9425,73.9715,,-0.23%
12-06-2016,75.639,75.348,75.979,74.913,,0.41%
05-06-2016,75.328,76.065,76.199,75.265,,-1.09%
29-05-2016,76.1585,74.5045,76.2255,74.4045,,2.22%
22-05-2016,74.505,75.605,76.019,74.334,,-1.53%
15-05-2016,75.659,75.607,75.839,75.234,,0.09%
08-05-2016,75.593,75.929,76.201,75.433,,-0.48%
01-05-2016,75.9575,76.0355,77.0325,75.7475,,-0.18%
24-04-2016,76.0965,74.8595,76.1355,74.7595,,1.62%
17-04-2016,74.8825,75.3055,75.5355,74.6625,,-0.44%
10-04-2016,75.213,75.919,76.238,74.852,,-0.88%
03-04-2016,75.878,75.614,76.136,75.109,,0.40%
27-03-2016,75.577,74.595,75.917,74.266,,1.28%
20-03-2016,74.6215,74.8215,75.0955,74.5185,,-0.26%
13-03-2016,74.8145,74.6875,75.6645,74.3495,,0.26%
06-03-2016,74.6235,73.7415,75.5485,72.4245,,1.31%
28-02-2016,73.658,75.15,75.251,73.008,,-2.00%
21-02-2016,75.1575,76.3995,76.4615,75.0565,,-1.53%
